date,location,latitude,longitude,subject_race,subject_sex,violation,citation_issued,warning_issued,outcome
12/5/07,E WASHINGTON AVE,43.1109638,-89.333606,white,male,automobile following too closely,TRUE,FALSE,citation
12/5/07,N THOMPSON DR,43.1102208,-89.2962749,white,female,driving too fast for conditions,TRUE,FALSE,citation
12/5/07,S WHITNEY WAY,43.0463612,-89.4734031,white,female,violate red traffic signal,TRUE,FALSE,citation
12/5/07,ODANA CT,43.0550454,-89.4892266,black,male,fail to yld lft trn into alley or dr way,TRUE,FALSE,citation
12/5/07,S PARK ST,43.05094550000001,-89.3945124,hispanic,female,automobile following too closely,TRUE,FALSE,citation
12/5/07,S PARK ST,43.05094550000001,-89.3945124,hispanic,female,operating after suspension,TRUE,FALSE,citation
12/5/07,2100 PENNSYLVANIA AV,43.0981664,-89.3606794,white,female,fail to yld turning left at intersection,TRUE,FALSE,citation
12/5/07,2100 PENNSYLVANIA AV,43.0981664,-89.3606794,white,female,operating after revocation,TRUE,FALSE,citation
12/5/07,1200 BLK WILLIAMSON ST,43.08325120000001,-89.3643272,white,male,failure to yield from alley or driveway,TRUE,FALSE,citation
12/5/07,2100 PENNSYLVANIA AV,43.0981664,-89.3606794,white,male,fail to yld turning left at intersection,TRUE,FALSE,citation
12/5/07,2500 PERRY ST,43.0374141,-89.3969109,hispanic,male,operating after revocation (2nd),TRUE,FALSE,citation
12/5/07,WRIGHT ST,43.1220885,-89.3303302,black,female,inattentive driving,TRUE,FALSE,citation
12/6/07,GANNON AVE,43.1062657,-89.3318299,black,female,operating after suspension (4th+),TRUE,FALSE,citation
12/6/07,GANNON AVE,43.1062657,-89.3318299,black,female,operating while intox.,TRUE,FALSE,citation
12/6/07,500 BLOCK OF W LAKESIDE ST,43.0560593,-89.3895793,white,female,speeding in school zone,FALSE,TRUE,warning
12/6/07,200 BLOCK OF W LAKESIDE ST,43.0560182,-89.3855415,white,male,speeding in school zones (1-10 mph),TRUE,FALSE,citation
